,time,user_name,viewer_count
312,2021-12-03T17:15:39.629074,Yogscast,9764
313,2021-12-03T17:15:39.629074,Ponce,9679
314,2021-12-03T17:15:39.629074,sinatraa,9402
315,2021-12-03T17:15:39.629074,Shaunz,9131
316,2021-12-03T17:15:39.629074,SilverName,8249
317,2021-12-03T17:15:39.629074,풍월량,7626
318,2021-12-03T17:15:39.629074,NeVeR_LosEs,7597
319,2021-12-03T17:15:39.629074,Mrhappy1227,7408
320,2021-12-03T17:15:39.653367,Dota2RuHub,36319
321,2021-12-03T17:15:39.653367,Trainwreckstv,21182
322,2021-12-03T17:15:39.653367,FPSThailand,16704
323,2021-12-03T17:15:39.653367,stylishnoob4,16113
324,2021-12-03T17:15:39.653367,RiotGames_Korea,14599
325,2021-12-03T17:15:39.653367,BeyondTheSummit,12707
326,2021-12-03T17:15:39.653367,fps_shaka,12041
327,2021-12-03T17:15:39.653367,DreadzTV,11648
328,2021-12-03T17:15:39.653367,zackrawrr,11510
329,2021-12-03T17:15:39.653367,chowh1,11202
330,2021-12-03T17:15:39.653367,Fextralife,10918
331,2021-12-03T17:15:39.653367,Amouranth,10258
332,2021-12-03T17:15:39.653367,Yogscast,9764
333,2021-12-03T17:15:39.653367,sinatraa,9744
334,2021-12-03T17:15:39.653367,Ponce,9679
335,2021-12-03T17:15:39.653367,Shaunz,9131
336,2021-12-03T17:15:39.653367,SilverName,8249
337,2021-12-03T17:15:39.653367,풍월량,7626
338,2021-12-03T17:15:39.653367,NeVeR_LosEs,7597
339,2021-12-03T17:15:39.653367,김도,7558
340,2021-12-03T17:15:43.825268,Dota2RuHub,36319
341,2021-12-03T17:15:43.825268,Trainwreckstv,21182
342,2021-12-03T17:15:43.825268,FPSThailand,16704
343,2021-12-03T17:15:43.825268,stylishnoob4,16113
344,2021-12-03T17:15:43.825268,RiotGames_Korea,14599
345,2021-12-03T17:15:43.825268,BeyondTheSummit,13056
346,2021-12-03T17:15:43.825268,fps_shaka,12041
347,2021-12-03T17:15:43.825268,DreadzTV,11648
348,2021-12-03T17:15:43.825268,zackrawrr,11510
349,2021-12-03T17:15:43.825268,chowh1,11202
350,2021-12-03T17:15:43.825268,Fextralife,10918
351,2021-12-03T17:15:43.825268,Amouranth,10258
352,2021-12-03T17:15:43.825268,Yogscast,9764
353,2021-12-03T17:15:43.825268,Ponce,9679
354,2021-12-03T17:15:43.825268,sinatraa,9402
355,2021-12-03T17:15:43.825268,Shaunz,9131
356,2021-12-03T17:15:43.825268,SilverName,8249
357,2021-12-03T17:15:43.825268,NeVeR_LosEs,7676
358,2021-12-03T17:15:43.825268,풍월량,7626
359,2021-12-03T17:15:43.825268,김도,7558
360,2021-12-03T17:15:49.151281,Dota2RuHub,36319
361,2021-12-03T17:15:49.151281,Trainwreckstv,20647
362,2021-12-03T17:15:49.151281,FPSThailand,16704
363,2021-12-03T17:15:49.151281,stylishnoob4,16113
364,2021-12-03T17:15:49.151281,RiotGames_Korea,14599
365,2021-12-03T17:15:49.151281,BeyondTheSummit,13056
366,2021-12-03T17:15:49.151281,fps_shaka,12041
367,2021-12-03T17:15:49.151281,DreadzTV,11648
368,2021-12-03T17:15:49.151281,zackrawrr,11510
369,2021-12-03T17:15:49.151281,chowh1,11405
370,2021-12-03T17:15:49.151281,Fextralife,10918
371,2021-12-03T17:15:49.151281,Amouranth,10258
372,2021-12-03T17:15:49.151281,Yogscast,9764
373,2021-12-03T17:15:49.151281,sinatraa,9744
374,2021-12-03T17:15:49.151281,Ponce,9679
375,2021-12-03T17:15:49.151281,Shaunz,9131
376,2021-12-03T17:15:49.151281,SilverName,8249
377,2021-12-03T17:15:49.151281,Mrhappy1227,7854
378,2021-12-03T17:15:49.151281,NeVeR_LosEs,7676
379,2021-12-03T17:15:49.151281,풍월량,7626
380,2021-12-03T17:16:01.040913,Dota2RuHub,36319
381,2021-12-03T17:16:01.040913,Trainwreckstv,20647
382,2021-12-03T17:16:01.040913,FPSThailand,16704
383,2021-12-03T17:16:01.040913,stylishnoob4,16113
384,2021-12-03T17:16:01.040913,RiotGames_Korea,14599
385,2021-12-03T17:16:01.040913,BeyondTheSummit,13056
386,2021-12-03T17:16:01.040913,fps_shaka,12041
387,2021-12-03T17:16:01.040913,DreadzTV,11648
388,2021-12-03T17:16:01.040913,zackrawrr,11510
389,2021-12-03T17:16:01.040913,chowh1,11405
390,2021-12-03T17:16:01.040913,Fextralife,10918
391,2021-12-03T17:16:01.040913,Amouranth,10258
392,2021-12-03T17:16:01.040913,Yogscast,9764
393,2021-12-03T17:16:01.040913,sinatraa,9744
394,2021-12-03T17:16:01.040913,Ponce,9679
395,2021-12-03T17:16:01.040913,Shaunz,9131
396,2021-12-03T17:16:01.040913,SilverName,8249
397,2021-12-03T17:16:01.040913,Mrhappy1227,7854
398,2021-12-03T17:16:01.040913,NeVeR_LosEs,7676
399,2021-12-03T17:16:01.040913,풍월량,7626
400,2021-12-03T17:16:08.143044,Dota2RuHub,36319
401,2021-12-03T17:16:08.143044,Trainwreckstv,20647
402,2021-12-03T17:16:08.143044,FPSThailand,16704
403,2021-12-03T17:16:08.143044,stylishnoob4,16113
404,2021-12-03T17:16:08.143044,RiotGames_Korea,14599
405,2021-12-03T17:16:08.143044,BeyondTheSummit,13056
406,2021-12-03T17:16:08.143044,fps_shaka,12041
407,2021-12-03T17:16:08.143044,DreadzTV,11648
408,2021-12-03T17:16:08.143044,zackrawrr,11510
409,2021-12-03T17:16:08.143044,chowh1,11405
410,2021-12-03T17:16:08.143044,Fextralife,10918
411,2021-12-03T17:16:08.143044,Amouranth,10258
412,2021-12-03T17:16:08.143044,Yogscast,9764
413,2021-12-03T17:16:08.143044,sinatraa,9744
414,2021-12-03T17:16:08.143044,Ponce,9679
415,2021-12-03T17:16:08.143044,Shaunz,9131
416,2021-12-03T17:16:08.143044,SilverName,8249
417,2021-12-03T17:16:08.143044,Mrhappy1227,7854
418,2021-12-03T17:16:08.143044,NeVeR_LosEs,7676
419,2021-12-03T17:16:08.143044,풍월량,7626
420,2021-12-03T17:16:19.163085,Dota2RuHub,36319
421,2021-12-03T17:16:19.163085,Trainwreckstv,20647
422,2021-12-03T17:16:19.163085,FPSThailand,16704
423,2021-12-03T17:16:19.163085,stylishnoob4,16113
424,2021-12-03T17:16:19.163085,RiotGames_Korea,14599
425,2021-12-03T17:16:19.163085,BeyondTheSummit,13056
426,2021-12-03T17:16:19.163085,fps_shaka,12041
427,2021-12-03T17:16:19.163085,DreadzTV,11648
428,2021-12-03T17:16:19.163085,zackrawrr,11510
429,2021-12-03T17:16:19.163085,chowh1,11405
430,2021-12-03T17:16:19.163085,Fextralife,10918
431,2021-12-03T17:16:19.163085,Amouranth,10258
432,2021-12-03T17:16:19.163085,Yogscast,9764
433,2021-12-03T17:16:19.163085,sinatraa,9744
434,2021-12-03T17:16:19.163085,Ponce,9679
435,2021-12-03T17:16:19.163085,Shaunz,9131
436,2021-12-03T17:16:19.163085,SilverName,8249
437,2021-12-03T17:16:19.163085,Mrhappy1227,7854
438,2021-12-03T17:16:19.163085,NeVeR_LosEs,7676
439,2021-12-03T17:16:19.163085,풍월량,7626
440,2021-12-03T17:16:26.998490,Dota2RuHub,36319
441,2021-12-03T17:16:26.998490,Trainwreckstv,20647
442,2021-12-03T17:16:26.998490,FPSThailand,16704
443,2021-12-03T17:16:26.998490,stylishnoob4,16113
444,2021-12-03T17:16:26.998490,RiotGames_Korea,14599
445,2021-12-03T17:16:26.998490,BeyondTheSummit,13056
446,2021-12-03T17:16:26.998490,fps_shaka,12041
447,2021-12-03T17:16:26.998490,DreadzTV,11648
448,2021-12-03T17:16:26.998490,zackrawrr,11510
449,2021-12-03T17:16:26.998490,chowh1,11405
450,2021-12-03T17:16:26.998490,Fextralife,10918
451,2021-12-03T17:16:26.998490,Amouranth,10258
452,2021-12-03T17:16:26.998490,Yogscast,9764
453,2021-12-03T17:16:26.998490,sinatraa,9744
454,2021-12-03T17:16:26.998490,Ponce,9679
455,2021-12-03T17:16:26.998490,Shaunz,9131
456,2021-12-03T17:16:26.998490,SilverName,8249
